artist,id,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
Selena Gomez,5EBtY2shIV1vmY4bnvvV6T,0.336,0.216,0.811,0.512,0.0266,0.077,0.173
Selena Gomez,3RKywhObU25JLEypRY6HWx,0.0978,0.556,0.488,0.343,0,0.21,0.0436
Selena Gomez,33iba4j2ywXqTQNEpGbfra,0.631,0.208,0.838,0.545,8.01e-05,0.103,0.0706
Selena Gomez,3ZCBSFcZSRM9Z48ew28Zrf,0.454,0.207,0.841,0.479,1.16e-05,0.122,0.0376
Selena Gomez,4sUWh0WAFyla5vjEYRrIGz,0.55,0.114,0.753,0.564,0.0273,0.359,0.252
Selena Gomez,1z1ztKUrDr09ZSMDnN3QIG,0.723,0.277,0.783,0.695,1.6e-05,0.0672,0.0481
Selena Gomez,6VKmaZrS8jnbfWXEk3aiUw,0.328,0.764,0.724,0.415,2.51e-06,0.103,0.0518
Selena Gomez,2zxSwkWX6VX72dzT7EVa9s,0.38,0.132,0.695,0.573,0.000137,0.156,0.167
Selena Gomez,5tJVdHErWeof8gCXJCtDDk,0.465,0.0447,0.784,0.552,0,0.192,0.0871
Selena Gomez,36Hgj5atzs02g05HAYCg1m,0.871,0.565,0.873,0.51,3.13e-06,0.0738,0.0661
Selena Gomez,1z6CcHAbPpw2R23jDJmW1T,0.31,0.109,0.583,0.777,0.000509,0.108,0.185
Selena Gomez,5UqZDGclEuq7g3sgUFad0J,0.62,0.0881,0.695,0.62,5.43e-05,0.111,0.0521
Selena Gomez,0he909ZlMUk631mzXeSgq4,0.841,0.3,0.855,0.293,9.19e-05,0.091,0.286
Selena Gomez,35KIxWjS8oMkAYG3K7RegO,0.475,0.249,0.826,0.571,1.66e-05,0.215,0.0426
Selena Gomez,7tU2wWq28P5ytOZ9diWnMy,0.534,0.484,0.691,0.446,0.00495,0.183,0.0472
Selena Gomez,0MC9g3xUfrHQBmTbXsjkU7,0.523,0.076,0.863,0.419,4.92e-05,0.151,0.437
Selena Gomez,4mt7C6wYeTUWDDk7xKym9w,0.392,0.44,0.71,0.808,0.000773,0.0734,0.0433
Selena Gomez,4QnC1bIaMSfDQvF4XDhV5M,0.346,0.218,0.811,0.512,0.0262,0.0768,0.17
Selena Gomez,4PjJG9YVs3aqHHS7hzkBJp,0.0978,0.556,0.488,0.343,0,0.21,0.0436
Selena Gomez,58yyMhnGNaCZLWBtkEk1Nn,0.631,0.208,0.838,0.545,8.01e-05,0.103,0.0706
Selena Gomez,1iPr9MIjFho26J0wlveZ0w,0.452,0.205,0.841,0.479,1.27e-05,0.122,0.0377
Selena Gomez,0jZPB7cuAhClOhV9ON2IMi,0.55,0.114,0.753,0.564,0.0273,0.359,0.252
Selena Gomez,5hwzzutxeqeC5VMSpnfgul,0.728,0.286,0.784,0.694,1.7e-05,0.0682,0.0485
Selena Gomez,2kWOzdz2fhFxGUKMelDtMj,0.328,0.764,0.724,0.415,2.51e-06,0.103,0.0518
Selena Gomez,6ZAphG0uMqReco9rNkQIxa,0.38,0.132,0.695,0.573,0.000137,0.156,0.167
Selena Gomez,5mY1CwEQLtCEnBoyzp2H6z,0.465,0.0447,0.784,0.552,0,0.192,0.0871
Selena Gomez,3y37QXQ9CUsT0pLV6Ncb3R,0.871,0.565,0.873,0.51,3.13e-06,0.0738,0.0661
Selena Gomez,4Y7tIx7nC5eX0PpQpu8sZA,0.31,0.109,0.583,0.777,0.000509,0.108,0.185
Selena Gomez,6DGTQbtssUhDjo5ByMpPIZ,0.62,0.0881,0.695,0.62,5.43e-05,0.111,0.0521
Selena Gomez,3dhlSlzrcT9Jd2orV3d1eK,0.857,0.247,0.848,0.282,2.22e-05,0.0883,0.281
Selena Gomez,3Vznskh3YIMXBxRDYb4Mz7,0.475,0.249,0.826,0.571,1.66e-05,0.215,0.0426
Selena Gomez,5n99I254jZHnRTf4z74RPk,0.534,0.484,0.691,0.446,0.00495,0.183,0.0472
Selena Gomez,06GKfDCuO8VJ05WN9x7w7q,0.523,0.076,0.863,0.419,4.92e-05,0.151,0.437
Selena Gomez,0bVzgX9R3Y6WEDLAu7LSlI,0.392,0.44,0.71,0.808,0.000773,0.0734,0.0433
Selena Gomez,7HMmFQsKsljwTw8bS7lu19,0.631,0.208,0.838,0.545,8.01e-05,0.103,0.0706
Selena Gomez,5sK3o66yupTNIK6gWgzGjf,0.465,0.0447,0.784,0.552,0,0.192,0.0871
Selena Gomez,7eOkHIcaoUhngxxypM5Ajr,0.55,0.114,0.753,0.564,0.0273,0.359,0.252
Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi,0.0978,0.556,0.488,0.343,0,0.21,0.0436
Selena Gomez,11Ey4yJVeWEsA73KjACkVY,0.871,0.565,0.873,0.51,3.13e-06,0.0738,0.0661
Selena Gomez,11OwAR3GlBj9E35Cznf7Lj,0.38,0.132,0.695,0.573,0.000137,0.156,0.167
Selena Gomez,63mdJr3NMY3wReOkNE6c6W,0.62,0.0881,0.695,0.62,5.43e-05,0.111,0.0521
Selena Gomez,0uFForNKQPvgSCnxlZIhQy,0.475,0.249,0.826,0.571,1.66e-05,0.215,0.0426
Selena Gomez,2C0hTkdEoikhKzDCJl32QZ,0.328,0.764,0.724,0.415,2.51e-06,0.103,0.0518
Selena Gomez,59iGOjPSOcPLGl3vqEStUp,0.534,0.484,0.691,0.446,0.00495,0.183,0.0472
Selena Gomez,64kfyGcf5dvbw92Vv4THCj,0.523,0.076,0.863,0.419,4.92e-05,0.151,0.437
Selena Gomez,4OtHGdb0KqEbaWb6edUnR9,0.842,0.3,0.855,0.294,9.22e-05,0.091,0.286
Selena Gomez,4bb94wZVF1cX66vQjNeJTX,0.31,0.109,0.583,0.777,0.000509,0.108,0.185
Selena Gomez,0rsRJOlDJxfNPNTEALa2t3,0.631,0.208,0.838,0.545,8.01e-05,0.103,0.0706
Selena Gomez,0vxXsVbXjFKdVjVxxQWZH2,0.465,0.0447,0.784,0.552,0,0.192,0.0871
Selena Gomez,5ovvIM76LOsx7qhFPhfpgO,0.55,0.114,0.753,0.564,0.0273,0.359,0.252
Selena Gomez,5eUvtb2X5BwnuGHnckOEhI,0.0978,0.556,0.488,0.343,0,0.21,0.0436
Selena Gomez,4booJzgCON0XwBApMQVDqI,0.871,0.565,0.873,0.51,3.13e-06,0.0738,0.0661
Selena Gomez,5FcK08xOWcRpULIlSY2wmr,0.38,0.132,0.695,0.573,0.000137,0.156,0.167
Selena Gomez,5Bf1MMvldbysxJW5RpQ5ta,0.62,0.0881,0.695,0.62,5.43e-05,0.111,0.0521
Selena Gomez,5DID6j5EypTnzS05DaqC7a,0.475,0.249,0.826,0.571,1.66e-05,0.215,0.0426
Selena Gomez,01GjnpiQIW3nA8S4utHPNI,0.328,0.764,0.724,0.415,2.51e-06,0.103,0.0518
Selena Gomez,0UB2kfzvjVaLiWjZwV3RKB,0.534,0.484,0.691,0.446,0.00495,0.183,0.0472
Selena Gomez,65A5mkCzCAwcaI2LAFtral,0.523,0.076,0.863,0.419,4.92e-05,0.151,0.437
Selena Gomez,6JbsxlnO7fkNfEeteS1WOw,0.857,0.247,0.848,0.282,2.22e-05,0.0883,0.281
Selena Gomez,1tm8rCTFIJbtDG9Ul6SDod,0.31,0.109,0.583,0.777,0.000509,0.108,0.185
Selena Gomez,36bQgs0OGLIuKU8DopHLEp,0.527,0.128,0.684,0.732,0,0.184,0.0862
Selena Gomez,0CAqjP3ehvTPj3ihqfOnqZ,0.398,0.00795,0.757,0.884,5.87e-05,0.0973,0.0404
Selena Gomez,5fhdwIMFcNz0nSzPHtouVI,0.466,0.0147,0.811,0.499,2.44e-06,0.342,0.118
Selena Gomez,62TioIhlUPxPGPK6v9HGiq,0.438,0.0223,0.672,0.593,0,0.214,0.0304
Selena Gomez,39a3rPbOTUyBNkvF1uFuvO,0.526,0.171,0.573,0.741,0,0.104,0.0788
Selena Gomez,0QY4oJtQMu1oHvudlBGlLV,0.215,0.181,0.607,0.673,0,0.069,0.0611
Selena Gomez,2pnCHn2mNH16vBfWA7lRQL,0.165,0.623,0.375,0.408,0,0.123,0.0331
Selena Gomez,3MLgdeitbfcirjwxLGkxnd,0.717,0.00315,0.711,0.736,0.000637,0.0731,0.104
Selena Gomez,6xvHmbe1S3eUijx948OsAV,0.245,0.0207,0.684,0.867,0.00355,0.0733,0.053
Selena Gomez,0q2BQZ75ZJlFFHtPzegth5,0.766,0.189,0.74,0.974,0,0.0849,0.0903
Selena Gomez,0QVi77bwplLVA3g7H6vvlq,0.496,0.2,0.652,0.902,0,0.595,0.119
Selena Gomez,751pjNTHJsvwAZQsfzzE2T,0.347,0.0152,0.629,0.947,0,0.0595,0.156
Selena Gomez,1ZXQRzCPo6cgpI8YFiftGp,0.0679,0.307,0.575,0.453,0,0.0844,0.0348
Selena Gomez,4FPdXKSO0KgTCJp80n5Ekz,0.159,0.142,0.392,0.558,2.27e-06,0.118,0.0598
Selena Gomez,3WxC3hmKZA0zFIzqQrZ8ez,0.642,0.0298,0.647,0.932,6.24e-06,0.536,0.053
Selena Gomez,7GpE1ZdfbtIbWkD8PryerM,0.259,0.0324,0.55,0.622,0,0.103,0.0483
Selena Gomez,3JbtFCWuXlYuMBO2izAoFP,0.343,0.159,0.666,0.486,1.82e-05,0.214,0.0761
Selena Gomez,5NB5uPFcHGmwfluq9Sqn3j,0.527,0.128,0.684,0.732,0,0.184,0.0862
Selena Gomez,7KxhSJOYiqCDclXDBNlFSZ,0.398,0.00795,0.757,0.884,5.87e-05,0.0973,0.0404
Selena Gomez,3CJvmtWw2bJsudbAC5uCQk,0.466,0.0147,0.811,0.499,2.44e-06,0.342,0.118
Selena Gomez,6ZANrVuAMp2rpjhfbOuJly,0.438,0.0223,0.672,0.593,0,0.214,0.0304
Selena Gomez,3Fb4cttE912XgIeD25rXRn,0.526,0.171,0.573,0.741,0,0.104,0.0788
Selena Gomez,5xdVqHtFS0eLuNp4Z8Wbpa,0.215,0.181,0.607,0.673,0,0.069,0.0611
Selena Gomez,37IToWWYUc9nuH3ijz4tqV,0.165,0.623,0.375,0.408,0,0.123,0.0331
Selena Gomez,4a32Q7bRtWDGSEMbyWKIlj,0.717,0.00315,0.711,0.736,0.000637,0.0731,0.104
Selena Gomez,3gBxsj1226b38ZxdvsTyd1,0.245,0.0207,0.684,0.867,0.00355,0.0733,0.053
Selena Gomez,75rnLkvIeq8RZ8xjcFIvSG,0.766,0.189,0.74,0.974,0,0.0849,0.0903
Selena Gomez,4RUqWWMnkm0rZebrPikFWI,0.496,0.2,0.652,0.902,0,0.595,0.119
Selena Gomez,4i55R0S2I64mhS5biNbECZ,0.347,0.0152,0.629,0.947,0,0.0595,0.156
Selena Gomez,4OuMdUzh9Lz82ACgQUYBbU,0.0679,0.307,0.575,0.453,0,0.0844,0.0348
Selena Gomez,2cMtkfv5jEb5UpIjJntl5g,0.159,0.142,0.392,0.558,2.27e-06,0.118,0.0598
Selena Gomez,6I4vrOusONJw4cUXRFyDZn,0.642,0.0298,0.647,0.932,6.24e-06,0.536,0.053
Selena Gomez,4zvZj8TSRl3EeaeXzRl73k,0.259,0.0324,0.55,0.622,0,0.115,0.0483
Selena Gomez,2lr7PIvcPfvhKwRSWdPw5x,0.527,0.128,0.684,0.732,0,0.184,0.0862
Selena Gomez,3Z8qbaDR9dD9YnmkxhZWIA,0.398,0.00795,0.757,0.884,5.87e-05,0.0973,0.0404
Selena Gomez,2Ul22v9JwPgGrdTXLOqOyS,0.466,0.0147,0.811,0.499,2.44e-06,0.342,0.118
Selena Gomez,37gZaN3ECPJ3fk3i7rSXlA,0.438,0.0223,0.672,0.593,0,0.214,0.0304
Selena Gomez,6MPGIWDyN0iK9EstFQE4ob,0.526,0.171,0.573,0.741,0,0.104,0.0788
Selena Gomez,2ldDfYnLmX31ZXBlyqJHcO,0.215,0.181,0.607,0.673,0,0.069,0.0611
Selena Gomez,08WfwhEhKBO0SBgHcl3sBh,0.165,0.623,0.375,0.408,0,0.123,0.0331
Selena Gomez,02c9RhJvvUOC8VfctjRtLa,0.717,0.00315,0.711,0.736,0.000637,0.0731,0.104
Selena Gomez,39uPCMB0B967igM186yvRX,0.245,0.0207,0.684,0.867,0.00355,0.0733,0.053
Selena Gomez,1T1nOydtmgvbbKw2RloXkf,0.766,0.189,0.74,0.974,0,0.0849,0.0903
Selena Gomez,1DjYIWPAk7z0yeY30rx83j,0.496,0.2,0.652,0.902,0,0.595,0.119
Selena Gomez,63FO0kXtkFiVUSkCtRBwSc,0.347,0.0152,0.629,0.947,0,0.0595,0.156
Selena Gomez,2pQYxcUWwui4wg6RNKZZIi,0.0679,0.307,0.575,0.453,0,0.0844,0.0348
Selena Gomez,0kml0SB5yA0ii9eHitVXUD,0.159,0.142,0.392,0.558,2.27e-06,0.118,0.0598
Selena Gomez,6IxP2DfLDRlAxS5mquDir9,0.642,0.0298,0.647,0.932,6.24e-06,0.536,0.053
Selena Gomez,52VHJnpLWciBuOWhg342IW,0.259,0.0324,0.55,0.622,0,0.115,0.0483
Selena Gomez,7oIGPzZ1TGlFbdG4nDI3uo,0.527,0.128,0.684,0.732,0,0.184,0.0862
Selena Gomez,1QNoKVgA758HFLu3TW2q7R,0.398,0.00795,0.757,0.884,5.87e-05,0.0973,0.0404
Selena Gomez,1LoriJC05IrHIDwj3q0KC1,0.466,0.0147,0.811,0.499,2.44e-06,0.342,0.118
Selena Gomez,1BZG99C7Co1r6QUC3zaS59,0.438,0.0223,0.672,0.593,0,0.214,0.0304
Selena Gomez,3viZcRlE38APncWJ5VGM4q,0.526,0.171,0.573,0.741,0,0.104,0.0788
Selena Gomez,578Eooad7oUyn4stovZiPg,0.215,0.181,0.607,0.673,0,0.069,0.0611
Selena Gomez,7jO0qPIBVGOmqxpCthE8H3,0.165,0.623,0.375,0.408,0,0.123,0.0331
Selena Gomez,7fBUnDgtSvYpYWuX4iAfns,0.717,0.00315,0.711,0.736,0.000637,0.0731,0.104
Selena Gomez,6mEFvpqnzElavdz3gfP2XT,0.245,0.0207,0.684,0.867,0.00355,0.0733,0.053
Selena Gomez,5VQ0SPGs7vdzQCIzsHTNUz,0.766,0.189,0.74,0.974,0,0.0849,0.0903
Selena Gomez,3IMXLQk09YmvNb2tdT4aWk,0.496,0.2,0.652,0.902,0,0.595,0.119
Selena Gomez,4ulNKUFHijHiPD2rtrSNOC,0.347,0.0152,0.629,0.947,0,0.0595,0.156
Selena Gomez,1JvGjHoDwbekZ9lNVzH0GH,0.0679,0.307,0.575,0.453,0,0.0844,0.0348
Selena Gomez,0z8u1VqXUYPBMIoF91JIWE,0.159,0.142,0.392,0.558,2.27e-06,0.118,0.0598
Selena Gomez,7aEwPVTLKiLE7bs9DTNOMD,0.419,0.00494,0.642,0.839,0,0.542,0.0457
Selena Gomez,6drErpbYyTmKS0sd2vu4UH,0.662,0.08,0.715,0.812,0,0.618,0.212
Selena Gomez,7f8mTaU2qU5uw3S3rSblTZ,0.26,0.00346,0.443,0.886,0,0.111,0.0921
Selena Gomez,4yXx0XGQXzk2rtnLLuDfHD,0.935,0.0736,0.705,0.903,0,0.185,0.118
Selena Gomez,0F1jtLBcn3q7X5XveEP8Xb,0.573,0.0101,0.546,0.787,0.00021,0.0809,0.0517
Selena Gomez,0npneATAlJysdsm1GYJdlN,0.229,0.178,0.507,0.959,2.22e-05,0.0746,0.172
Selena Gomez,4ij0X3D3NDio8xmGlcwZuj,0.531,0.00115,0.666,0.836,2.22e-05,0.132,0.036
Selena Gomez,5pKBW6A4dv9pyigyxARfhA,0.665,0.0131,0.894,0.597,0.00138,0.0969,0.0524
Selena Gomez,53QMypfIx4MqPmHkr3wjTr,0.379,0.00415,0.629,0.755,1.11e-05,0.207,0.0466
Selena Gomez,48hbxv2V0yMRewSjZuLjDw,0.734,0.0148,0.633,0.683,0.00028,0.129,0.119
Selena Gomez,50LXNrXM62xKaM6WbdHbs9,0.33,0.0132,0.634,0.956,0,0.0978,0.152
Selena Gomez,1nqdFsRM7P0wW9tPGXzwtJ,0.462,0.0737,0.613,0.86,0,0.172,0.0485
Selena Gomez,52P0Bmet6UhTfClJbuKvG6,0.532,0.0713,0.594,0.659,0,0.34,0.0702
Selena Gomez,5uwf9K6FyQFQb0DaBgBHGg,0.673,0.00506,0.676,0.65,0,0.36,0.0526
Selena Gomez,0ErkByEpfNh9o49wP3kXDF,0.312,0.0436,0.577,0.829,0,0.118,0.0528
Selena Gomez,0CPvVzU3YA4URepJdHtRp8,0.853,0.147,0.549,0.964,2.07e-06,0.278,0.0464
Selena Gomez,0MDQDdfygVWtSpcNYMwZru,0.419,0.00494,0.642,0.839,0,0.542,0.0457
Selena Gomez,3bllCDgAk8MXREkgRiZSP9,0.662,0.08,0.715,0.812,0,0.618,0.212
Selena Gomez,5sQeyJ1kOsqR3mUZNJZy5o,0.26,0.00346,0.443,0.886,0,0.111,0.0921
